meet_name,meet_date,season_year,race_name,course_name,gender
Lagoon Valley Classic,2019-09-07,2019,Not Disclosed,"Lagoon Valley Park, 2 Miles",M
Time Trial,2019-08-29,2019,Not Disclosed,"La Rinconada Area, 5 Kilometers",M
CA State Championship,2018-11-24,2018,Not Disclosed,"Woodward Park, 5 Kilometers",M
CCS Championsips,2018-11-18,2018,Not Disclosed,"Toro Park, 5 Kilometers",M
BVAL Championships,2018-10-29,2018,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2018-10-24,2018,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Meadow Park Invite,2018-10-20,2018,Not Disclosed,"Meadow Park, 3 Miles",M
League Meet,2018-10-17,2018,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Crystal Springs Invitational,2018-10-06,2018,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Scott Bauhs Invitational,2018-09-29,2018,Not Disclosed,"Shadow Cliffs Regional Park, 2.95 Miles",M
Stanford Invitational,2018-09-29,2018,Not Disclosed,"Stanford GC, 5 Kilometers",M
Pac Tiger Invitational,2018-09-22,2018,Not Disclosed,"Elkhorn GC, 2 Miles",M
Pac Tiger Invitational,2018-09-22,2018,Not Disclosed,"Elkhorn GC, 5 Kilometers",M
League Meet,2018-09-13,2018,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2018-09-06,2018,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
CA State Championship,2017-11-25,2017,Not Disclosed,"Woodward Park, 5 Kilometers",M
CCS Championsips,2017-11-11,2017,Not Disclosed,"Toro Park, 3 Miles",M
BVAL Championships,2017-10-30,2017,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2017-10-18,2017,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Chico Autumn Invitational,2017-10-13,2017,Not Disclosed,"Hooker Oak Park, 5 Kilometers",M
Chico Autumn Invitational,2017-10-13,2017,Not Disclosed,"Hooker Oak Park, 3.5 Kilometers",M
Crystal Springs Invitational,2017-10-07,2017,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2017-10-05,2017,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Ram Invitational,2017-09-30,2017,Not Disclosed,"Westmoor High (Const), 2.3 Miles",M
League Meet,2017-09-21,2017,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Earlybird Invitational,2017-09-16,2017,Not Disclosed,"Toro Park, 3 Miles",M
League Meet,2017-09-07,2017,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
