athletic_net_race_id,meet_athletic_net_id,name,gender,distance_meters,race_type,course_name
1077556,256230,Womens 3 Miles D1&2 Varsity Green,F,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077557,256230,Mens 3 Miles D1&2 JV Red,M,4828,JV,"Mt. San Antonio College, 3 Miles"
1077558,256230,Womens 3 Miles D1&2 JV Yellow,F,4828,JV,"Mt. San Antonio College, 3 Miles"
1077560,256230,Mens 3 Miles D1 Varsity Green,M,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077562,256230,Womens 3 Miles D1 Varsity Red,F,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077565,256230,Mens 3 Miles D1 Varsity Yellow,M,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077567,256230,Womens 3 Miles D1 Varsity Blue,F,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077568,256230,Mens 3 Miles D1 Varsity Green,M,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077569,256230,Womens 3 Miles D1 Varsity Red,F,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077570,256230,Mens 3 Miles D1 Frosh Yellow,M,4828,Frosh,"Mt. San Antonio College, 3 Miles"
1077572,256230,Womens 3 Miles D1 Frosh Blue,F,4828,Frosh,"Mt. San Antonio College, 3 Miles"
1077574,256230,Mens 3 Miles D1 Soph Green,M,4828,Other,"Mt. San Antonio College, 3 Miles"
1077575,256230,Mens 3 Miles D1 Soph Red,M,4828,Other,"Mt. San Antonio College, 3 Miles"
1077577,256230,Womens 3 Miles D1 Soph Yellow,F,4828,Other,"Mt. San Antonio College, 3 Miles"
1077579,256230,Mens 3 Miles D1 JV Blue,M,4828,JV,"Mt. San Antonio College, 3 Miles"
1077581,256230,Womens 3 Miles D1 JV Green,F,4828,JV,"Mt. San Antonio College, 3 Miles"
1077582,256230,Mens 3 Miles D1 JV Red,M,4828,JV,"Mt. San Antonio College, 3 Miles"
1077584,256230,Womens 3 Miles D2 JV Blue,F,4828,JV,"Mt. San Antonio College, 3 Miles"
1077586,256230,Mens 3 Miles D2 JV Green,M,4828,JV,"Mt. San Antonio College, 3 Miles"
1077588,256230,Mens 3 Miles D2 Soph Red,M,4828,Other,"Mt. San Antonio College, 3 Miles"
1077590,256230,Womens 3 Miles D2 Frosh Yellow,F,4828,Frosh,"Mt. San Antonio College, 3 Miles"
1077591,256230,Mens 3 Miles D2 Frosh Blue,M,4828,Frosh,"Mt. San Antonio College, 3 Miles"
1077592,256230,Womens 3 Miles D2 Soph Green,F,4828,Other,"Mt. San Antonio College, 3 Miles"
1077593,256230,Mens 3 Miles D2 Varsity Red,M,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077598,256230,Womens 3 Miles D2 Varsity Yellow,F,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077601,256230,Mens 3 Miles D2 Varsity Blue,M,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077602,256230,Womens 3 Miles D2 Varsity Green,F,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077603,256230,Mens 3 Miles D2 Varsity Red,M,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077604,256230,Womens 3 Miles D2 Varsity Yellow,F,4828,Varsity,"Mt. San Antonio College, 3 Miles"
1077605,256230,Mens 3 Miles D2 Varsity Blue,M,4828,Varsity,"Mt. San Antonio College, 3 Miles"
