athletic_net_race_id,meet_athletic_net_id,name,gender,distance_meters,race_type,course_name
1016055,254467,Mens 3 Miles Frosh/Soph Boys,M,4828,Frosh,"North Monterey County High School, 3 Miles"
1016056,254467,Womens 3 Miles Frosh/Soph Girls,F,4828,Frosh,"North Monterey County High School, 3 Miles"
1016057,254467,Mens 3 Miles JV Boys,M,4828,JV,"North Monterey County High School, 3 Miles"
1016058,254467,Womens 3 Miles JV Girls,F,4828,JV,"North Monterey County High School, 3 Miles"
1016059,254467,Mens 3 Miles Varsity Boys,M,4828,Varsity,"North Monterey County High School, 3 Miles"
1016060,254467,Womens 3 Miles Varsity Girls,F,4828,Varsity,"North Monterey County High School, 3 Miles"
