id,name,location,venue,distance_meters,distance_display,difficulty_rating,elevation_gain_meters,surface_type,terrain_description,course_map_url,athletic_net_id,notes,created_at,updated_at
738bbef8-2cf3-4a72-a830-1644c2bd51a3,Del Mar High School | 2.2 Miles,,,3541,3541m,1.082989994,,,,,,,2025-10-24T21:04:00.870632+00:00,2025-10-24T21:04:00.870632+00:00
9f51f323-3513-4a41-817e-6acc381bf48f,Del Mar High School | 2.3 Miles,,,3701,3701m,1.071218364,,,,,,,2025-10-24T21:04:01.456229+00:00,2025-10-24T21:04:01.456229+00:00
c3ae87cd-20af-4e89-a54a-8e9a63907bc0,Del Mar High School | 3 Miles,,,4828,4828m,1.236021189,,,,,,,2025-10-24T21:04:07.99308+00:00,2025-10-24T21:04:07.99308+00:00
6651e0b8-7f57-464b-b5e3-05bd59262e7b,Elkhorn GC | 2 Miles,,,3219,3219m,1.086027075,,,,,,,2025-10-24T21:03:58.141404+00:00,2025-10-24T21:03:58.141404+00:00
9f657cc8-6a59-4f73-9819-afecd1e23ba5,Elkhorn GC | 5 Kilometers,,,5000,5000m,1.167286639,,,,,,,2025-10-24T21:04:09.18868+00:00,2025-10-24T21:04:09.18868+00:00
c45308df-1999-40bc-af9d-61dbfe5e7176,Foothill College | 2.75 Miles,,,4426,4426m,1.19950261,,,,,,,2025-10-24T21:04:04.835237+00:00,2025-10-24T21:04:04.835237+00:00
bee96ad8-9bd1-43b5-a08e-0b6428da10f1,Foothill College | 2.9 Miles,,,4667,4667m,1.19950261,,,,,,,2025-10-24T21:04:05.977254+00:00,2025-10-24T21:04:05.977254+00:00
0bf4e4f6-6982-4efd-89ae-c801f889af1a,Foothill College | 3 Miles,,,4828,4828m,1.19950261,,,,,,,2025-10-24T21:04:07.762087+00:00,2025-10-24T21:04:07.762087+00:00
444186e6-310c-48b5-ab2e-3518140a9222,Fremont High School | 2.1 Miles,,,3380,3380m,1.132984392,,,,,,,2025-10-24T21:03:59.959349+00:00,2025-10-24T21:03:59.959349+00:00
cf477fff-b156-40bd-a463-c733ab5d5f9d,Fremont HS | 2.05 Miles,,,3299,3299m,1.132984392,,,,,,,2025-10-24T21:03:59.467027+00:00,2025-10-24T21:03:59.467027+00:00
17a46287-04de-43c9-bcc2-423e3000af62,Golden Gate Park (Const) | 2.08 Miles,,,3347,3347m,1.067098293,,,,,,,2025-10-24T21:03:59.583312+00:00,2025-10-24T21:03:59.583312+00:00
7a1b74a6-a0e6-4c23-885e-a0c9d8c110f6,Golden Gate Park (Const) | 2.78 Miles,,,4474,4474m,1.113078281,,,,,,,2025-10-24T21:04:04.981602+00:00,2025-10-24T21:04:04.981602+00:00
20425722-4e4b-48a8-ae3a-5a114ad098fe,Golden Gate Park | 2.13 Miles,,,3428,3428m,1.124849912,,,,,,,2025-10-24T21:04:00.309469+00:00,2025-10-24T21:04:00.309469+00:00
6e8b7a71-17a2-4d52-9a40-049acedf1c59,Golden Gate Park | 2.5 Miles,,,4023,4023m,1.113078281,,,,,,,2025-10-24T21:04:02.752386+00:00,2025-10-24T21:04:02.752386+00:00
e1923bdf-09d7-4cf0-8064-0c2ae6b184d5,Golden Gate Park | 2.93 Miles,,,4715,4715m,1.147733961,,,,,,,2025-10-24T21:04:06.088808+00:00,2025-10-24T21:04:06.088808+00:00
b7ab6a43-01d1-4e65-b153-76b20d11c06f,Golden Gate Park Polo | 3.03 miles,,,4876,4876m,1.1241907,,,,,,,2025-10-24T21:04:08.119757+00:00,2025-10-24T21:04:08.119757+00:00
