athletic_net_id,name,short_name,city,state,league
school_tahoe-truckee,Tahoe-Truckee,Tahoe-Truckee,,,
school_fowler,Fowler,Fowler,,,
school_monrovia,Monrovia,Monrovia,,,
school_archie_williams,Archie Williams,Archie Williams,,,
school_buena,Buena,Buena,,,
school_san_marin,San Marin,San Marin,,,
school_cardinal_newman,Cardinal Newman,Cardinal Newman,,,
school_flintridge_prep,Flintridge Prep,Flintridge Prep,,,
school_cathedral,Cathedral,Cathedral,,,
school_nueva,Nueva,Nueva,,,
school_servite,Servite,Servite,,,
school_santa_clara,Santa Clara,Santa Clara,,,
school_hilmar,Hilmar,Hilmar,,,
school_heritage_christian,Heritage Christian,Heritage Christian,,,
school_hockinson,Hockinson,Hockinson,,,
school_st_mary's_college,St Mary's College,St Mary's College,,,
school_oaks_christian,Oaks Christian,Oaks Christian,,,
school_kimball,Kimball,Kimball,,,
school_central_valley_christian,Central Valley Christian,Central Valley Christian,,,
school_templeton,Templeton,Templeton,,,
school_la_serna,La Serna,La Serna,,,
school_clovis_north,Clovis North,Clovis North,,,
school_university_irvine,University Irvine,University Irvine,,,
school_monache,Monache,Monache,,,
school_hesperia,Hesperia,Hesperia,,,
school_la_quinta_(la_quinta),La Quinta (La Quinta),La Quinta (La Quinta),,,
school_canyon_(anaheim),Canyon (Anaheim),Canyon (Anaheim),,,
school_valencia_(valencia),Valencia (Valencia),Valencia (Valencia),,,
school_mountain_view,Mountain View,Mountain View,,,
school_carson,Carson,Carson,,,
school_bullard,Bullard,Bullard,,,
school_laguna_creek,Laguna Creek,Laguna Creek,,,
school_cosumnes_oaks,Cosumnes Oaks,Cosumnes Oaks,,,
school_sanger,Sanger,Sanger,,,
school_patrick_henry,Patrick Henry,Patrick Henry,,,
school_righetti,Righetti,Righetti,,,
school_clovis_west,Clovis West,Clovis West,,,
school_corona_del_mar,Corona del Mar,Corona del Mar,,,
school_chino_hills,Chino Hills,Chino Hills,,,
school_rodriguez,Rodriguez,Rodriguez,,,
school_liberty_-_bakersfield,Liberty - Bakersfield,Liberty - Bakersfield,,,
school_foothill_(santa_ana),Foothill (Santa Ana),Foothill (Santa Ana),,,
school_stockdale,Stockdale,Stockdale,,,
school_segerstrom,Segerstrom,Segerstrom,,,
school_porterville,Porterville,Porterville,,,
school_redwood_(visalia),Redwood (Visalia),Redwood (Visalia),,,
school_justin_garza,Justin Garza,Justin Garza,,,
school_edison,Edison,Edison,,,
school_homestead,Homestead,Homestead,,,
school_miguel_contreras_lc,Miguel Contreras LC,Miguel Contreras LC,,,
school_martin_luther_king,Martin Luther King,Martin Luther King,,,
school_california_(san_ramon),California (San Ramon),California (San Ramon),,,
school_milpitas,Milpitas,Milpitas,,,
school_berkeley,Berkeley,Berkeley,,,
school_santa_monica,Santa Monica,Santa Monica,,,
school_ridgeview,Ridgeview,Ridgeview,,,
school_rancho_cucamonga,Rancho Cucamonga,Rancho Cucamonga,,,
school_centennial_(corona),Centennial (Corona),Centennial (Corona),,,
school_poly_(riverside),Poly (Riverside),Poly (Riverside),,,
school_arcadia,Arcadia,Arcadia,,,
school_pleasant_grove,Pleasant Grove,Pleasant Grove,,,
school_crescenta_valley,Crescenta Valley,Crescenta Valley,,,
school_clovis_east,Clovis East,Clovis East,,,
school_birmingham,Birmingham,Birmingham,,,
school_highland,Highland,Highland,,,
school_evergreen_valley,Evergreen Valley,Evergreen Valley,,,
school_liberty_-_winchester,Liberty - Winchester,Liberty - Winchester,,,
school_lancaster,Lancaster,Lancaster,,,
school_ayala,Ayala,Ayala,,,
school_poly_(long_beach),Poly (Long Beach),Poly (Long Beach),,,
school_redondo_union,Redondo Union,Redondo Union,,,
school_amador_valley,Amador Valley,Amador Valley,,,
school_chaffey,Chaffey,Chaffey,,,
school_granada_hills,Granada Hills,Granada Hills,,,
school_millikan,Millikan,Millikan,,,
school_clovis,Clovis,Clovis,,,
school_bakersfield,Bakersfield,Bakersfield,,,
school_san_juan_hills,San Juan Hills,San Juan Hills,,,
school_valley_view,Valley View,Valley View,,,
school_eleanor_roosevelt,Eleanor Roosevelt,Eleanor Roosevelt,,,
school_dublin,Dublin,Dublin,,,
school_cypress,Cypress,Cypress,,,
school_folsom,Folsom,Folsom,,,
school_upland,Upland,Upland,,,
school_franklin_(eg),Franklin (EG),Franklin (EG),,,
school_mcclatchy,McClatchy,McClatchy,,,
school_los_altos,Los Altos,Los Altos,,,
school_trabuco_hills,Trabuco Hills,Trabuco Hills,,,
school_oak_ridge,Oak Ridge,Oak Ridge,,,
school_saugus,Saugus,Saugus,,,
school_dos_pueblos,Dos Pueblos,Dos Pueblos,,,
school_sheldon_(ca),Sheldon (CA),Sheldon (CA),,,
school_buchanan,Buchanan,Buchanan,,,
school_great_oak,Great Oak,Great Oak,,,
school_davis,Davis,Davis,,,
school_fountain_valley,Fountain Valley,Fountain Valley,,,
school_santiago_(corona),Santiago (Corona),Santiago (Corona),,,
school_aliso_niguel,Aliso Niguel,Aliso Niguel,,,
school_wilson_(long_beach),Wilson (Long Beach),Wilson (Long Beach),,,
school_j_serra_catholic,J Serra Catholic,J Serra Catholic,,,
school_san_clemente,San Clemente,San Clemente,,,
school_jesuit,Jesuit,Jesuit,,,
school_mira_costa,Mira Costa,Mira Costa,,,
school_beckman,Beckman,Beckman,,,
school_bellarmine_college_prep,Bellarmine College Prep,Bellarmine College Prep,,,
school_central,Central,Central,,,
school_high_tech_high_mesa,High Tech High Mesa,High Tech High Mesa,,,
school_international_school_of_los_angeles,International School of Los Angeles,International School of Los Angeles,,,
school_trinity,Trinity,Trinity,,,
school_nipomo,Nipomo,Nipomo,,,
school_ontario_christian,Ontario Christian,Ontario Christian,,,
school_hughson,Hughson,Hughson,,,
school_monte_vista_christian,Monte Vista Christian,Monte Vista Christian,,,
school_caruthers,Caruthers,Caruthers,,,
school_cantwell-sacred_heart,Cantwell-Sacred Heart,Cantwell-Sacred Heart,,,
school_riverbank,Riverbank,Riverbank,,,
school_paraclete,Paraclete,Paraclete,,,
school_piedmont,Piedmont,Piedmont,,,
school_brentwood,Brentwood,Brentwood,,,
school_marin_catholic,Marin Catholic,Marin Catholic,,,
school_morro_bay,Morro Bay,Morro Bay,,,
school_san_domenico,San Domenico,San Domenico,,,
school_st_mary’s,St Mary’s,St Mary’s,,,
school_fresno_christian,Fresno Christian,Fresno Christian,,,
school_nordhoff,Nordhoff,Nordhoff,,,
school_viewpoint,Viewpoint,Viewpoint,,,
school_menlo,Menlo,Menlo,,,
school_branham,Branham,Branham,,,
school_galena,Galena,Galena,,,
school_reedley,Reedley,Reedley,,,
school_herriman,Herriman,Herriman,,,
school_woodbridge,Woodbridge,Woodbridge,,,
school_woodlake,Woodlake,Woodlake,,,
school_oakdale,Oakdale,Oakdale,,,
school_irvine,Irvine,Irvine,,,
school_st_francis_(mountain_view),St Francis (Mountain View),St Francis (Mountain View),,,
