athletic_net_race_id,meet_athletic_net_id,name,gender,distance_meters,race_type,course_name
1019122,255687,Mens 2.1 Miles 2.1 Mile Boys,M,3379,Other,"Toro Park, 2.1 Miles"
1019123,255687,Mens 3 Miles Varsity Boys,M,4828,Varsity,"Toro Park, 3 Miles"
1019124,255687,Mens 3 Miles Junior Varsity Boys,M,4828,JV,"Toro Park, 3 Miles"
1019125,255687,Womens 2.1 Miles 2.1 mile Girls,F,3379,Other,"Toro Park, 2.1 Miles"
1019126,255687,Womens 3 Miles Varsity Girls,F,4828,Varsity,"Toro Park, 3 Miles"
1019127,255687,Womens 3 Miles Junior Varsity Girls,F,4828,JV,"Toro Park, 3 Miles"
